Date	Fish	Speed	GroupSize	RewardArm	ArmChosen	Decision	Time2Act	DecisionTime	NFishHoldingArm	NFishCorrectArm	NFishIncorrectArm	NFishDecisionZone
2016-02-24	1	1	1	R	R	1	8.26	0.700700701	0	0	0	1
2016-02-24	7	10	10	R	R	1	339.51	1.101101101	0	9	0	1
2016-02-24	4	10	5	R	R	1	8.27	0.700700701	0	4	0	1
2016-02-24	5	1	15	R	R	1	2.9699999999999998	3.837170504	3	8	0	4
2016-02-24	8	10	10	R	R	1	9.11	1.134467801	1	6	0	3
2016-02-24	3	10	5	R	R	1	1.7	0.900900901	0	2	0	3
2016-02-24	6	10	15	L	L	1	2.4	3.069736403	4	8	0	3
2016-02-24	2	1	1	R	R	1	572	0.867534201	0	0	0	1
2016-02-25	14	10	5	R	R	1	13.209999999999999	5.972639306	0	4	0	1
2016-02-25	15	1	1	R	R	1	121.86	1.901901902	0	0	0	1
2016-02-25	13	1	5	R	R	1	39.71	4.437771104	0	2	0	3
2016-02-25	9	10	10	R	R	1	8.709999999999999	3.503503504	2	0	0	8
2016-02-25	12	10	15	R	L	0	13.68	1.368034701	2	4	2	7
2016-02-25	10	1	10	L	L	1	11.51	2.402402402	5	3	0	2
2016-02-25	16	10	1	L	L	1	58.89	1.334668001	0	0	0	1
2016-02-25	11	1	15	L	R	0	2.84	0.867534201	14	0	0	1
2016-02-26	18	1	15	R	L	0	4.5	2.235568902	9	0	2	4
2016-02-26	24	10	5	R	R	1	22.259999999999998	2.402402402	1	2	0	2
2016-02-26	21	1	1	L	R	0	196.2	1.634968302	0	0	0	1
2016-02-26	22	10	1	R	L	0	187.09	1.568234902	0	0	0	1
2016-02-26	17	10	15	R	L	0	20.919999999999998	0.834167501	0	14	0	1
2016-02-26	20	1	10	R	R	1	7.44	3.069736403	4	1	0	5
2016-02-26	23	1	5	L	R	0	326.59	1.201201201	0	0	2	3
2016-02-26	19	1	10	L	L	1	18.25	4.170837504	0	9	0	1
2016-02-28	1	1	10	L	R	0	512.1800000000001	1.267934601	0	1	1	8
2016-02-28	7	10	1	R	R	1	96.06	3.636970304	0	0	0	1
2016-02-28	2	1	10	R	R	1	4.34	1.334668001	2	1	1	6
2016-02-28	3	10	15	L	L	1	4.67	2.369035702	9	0	0	6
2016-02-28	5	1	5	R	R	1	32.63	4.838171505	0	4	0	1
2016-02-28	6	1	5	R	L	0	7.84	3.303303303	1	0	2	2
2016-02-28	8	10	1	R	R	1	18.12	0.900900901	0	0	0	1
2016-02-28	4	1	15	R	L	0	13.38	1.601601602	1	0	10	4
2016-02-29	15	1	15	L	R	0	202.37	5.271938605	1	3	2	9
2016-02-29	13	10	10	R	R	1	7.14	0.934267601	3	6	0	1
2016-02-29	11	1	1	L	L	1	5.25	0.834167501	0	0	0	1
2016-02-29	12	10	1	L	L	1	4.7700000000000005	0.800800801	0	0	0	1
2016-02-29	16	10	15	R	R	1	13.709999999999999	1.735068402	1	11	0	3
2016-02-29	14	1	10	R	R	1	3.3699999999999997	1.034367701	9	0	0	1
2016-02-29	10	10	5	L	L	1	10.239999999999998	2.569235903	1	0	2	2
2016-02-29	9	1	5	R	R	1	6.109999999999999	1.401401401	0	1	0	4
2016-03-01	19	10	15	L	L	1	4.7	1.601601602	3	6	0	6
2016-03-01	20	1	15	R	R	1	12.41	0.667334001	1	9	4	1
2016-03-01	17	1	10	R	L	0	7.609999999999999	1.201201201	2	1	4	3
2016-03-01	18	1	10	R	L	0	6.81	1.368034701	1	6	0	3
2016-03-01	22	10	5	L	L	1	20.52	2.969636303	0	4	0	1
2016-03-01	24	1	1	R	R	1	8.91	5.739072406	0	0	0	1
2016-03-01	21	1	5	L	R	0	207.57	1.401401401	1	0	3	1
2016-03-03	7	1	5	R	R	1	37.58	2.469135802	1	0	0	4
2016-03-03	2	1	15	R	R	1	8.25	0.667334001	5	0	0	10
2016-03-03	4	1	10	L	R	0	2.3299999999999996	0.900900901	5	1	0	4
2016-03-03	5	10	1	R	R	1	135	3.837170504	0	0	0	1
2016-03-03	8	1	5	L	L	1	8.5	1.267934601	0	1	1	3
2016-03-04	11	1	5	L	R	0	180.05	2.936269603	0	0	1	4
2016-03-04	15	1	10	L	R	0	5.01	1.301301301	2	0	3	5
2016-03-04	12	10	5	R	L	0	4.04	1.167834501	0	0	0	5
2016-03-04	10	10	1	L	L	1	10.239999999999998	1.935268602	0	0	0	1
2016-03-04	13	1	15	L	L	1	58.99	2.502502503	0	2	0	13
2016-03-04	16	10	10	L	L	1	311.90999999999997	1.935268602	10	3	0	-3
2016-03-04	14	10	15	R	R	1	3.94	0.867534201	12	2	0	1
2016-03-05	18	10	5	L	L	1	4.08	1.901901902	1	0	2	2
2016-03-05	21	1	10	R	L	0	36.25	1.901901902	0	2	3	5
2016-03-05	23	10	15	R	R	1	8.92	1.935268602	5	9	0	1
2016-03-05	20	1	1	L	R	0	438.75	0.867534201	0	0	0	1
2016-03-05	24	1	15	L	L	1	16.58	7.907907908	0	1	13	1
2016-03-05	22	1	10	R	L	0	8.75	1.968635302	7	0	2	1
2016-03-05	17	1	5	R	R	1	1091.25	2.569235903	1	0	0	4
2016-03-07	1	1	15	L	L	1	5.31	0.967634301	5	0	0	10
2016-03-07	2	10	15	R	R	1	3.5	0.767434101	11	2	3	-1
2016-03-07	3	10	10	R	L	0	58.5	0.867534201	0	9	0	1
2016-03-07	5	1	1	R	R	1	193	2.769436103	0	0	0	1
2016-03-07	7	10	5	R	R	1	5.25	1.001001001	0	1	0	4
2016-03-07	4	10	10	R	R	1	5.17	0.700700701	2	0	5	3
2016-03-07	8	10	5	L	R	0	355.83	0.700700701	4	0	0	1
2016-03-08	11	10	5	R	R	1	207.01	1.368034701	1	3	0	1
2016-03-08	13	10	15	L	L	1	6.33	1.768435102	1	10	2	2
2016-03-08	14	1	15	R	R	1	5.42	0.967634301	8	0	3	4
2016-03-08	16	1	10	L	L	1	94.33	0.700700701	1	4	1	4
2016-03-08	10	1	1	R	R	1	8.08	2.902902903	0	0	0	1
2016-03-09	20	10	10	L	L	1	104.33	1.201201201	6	6	0	-2
2016-03-09	22	1	1	L	R	0	6.25	1.101101101	0	0	0	1
2016-03-09	21	10	1	R	L	0	389.33	2.102102102	0	0	0	1
2016-03-09	24	1	5	L	L	1	251.33	2.435769102	4	0	0	1
2016-03-09	18	10	15	L	L	1	3.6	1.234567901	8	0	0	7
2016-03-11	4	10	15	L	L	1	10.17	1.735068402	1	5	1	8
2016-03-11	2	10	10	L	L	1	3.75	0.767434101	5	1	0	4
2016-03-11	1	10	10	L	L	1	4.5	28.97	4	5	0	1
2016-03-11	8	1	1	R	L	0	3.58	1.401401401	0	0	0	1
2016-03-11	7	1	1	R	R	1	18	0.934267601	0	0	0	1
2016-03-11	5	10	5	L	L	1	6.42	1.301301301	2	1	0	2
2016-03-11	6	10	5	R	L	0	6.2700000000000005	0.800800801	2	0	2	1
2016-03-11	3	1	15	L	L	1	4	2.135468802	14	0	0	1
2016-03-12	12	1	1	R	L	0	474.91999999999996	0.700700701	0	0	0	1
2016-03-12	13	1	10	L	R	0	205.73999999999998	1.968635302	2	1	3	4
2016-03-12	11	10	1	L	L	1	212.08	0.533867201	0	0	0	1
2016-03-12	10	1	5	L	L	1	12	8.775442109	0	2	0	3
2016-03-12	16	1	15	R	R	1	67.66999999999999	1.501501502	2	5	1	7
2016-03-12	9	10	5	R	R	1	18.67	4.404404404	0	3	0	2
2016-03-12	14	10	10	L	L	1	5.71	1.267934601	7	0	0	3
2016-03-13	18	10	10	L	L	1	6.58	1.601601602	0	5	0	5
2016-03-13	24	10	1	R	R	1	20	6.206206206	0	0	0	1
2016-03-13	21	10	5	R	R	1	72.42	0.967634301	1	1	2	1
2016-03-13	17	10	10	L	R	0	9.84	0.867534201	1	6	0	3
2016-03-13	19	1	15	R	L	0	3.14	0.633967301	9	0	0	6
2016-03-13	22	1	5	L	R	0	4.92	0.700700701	0	0	0	5
2016-03-13	20	10	15	R	R	1	881.3499999999999	1.634968302	1	11	1	2
2016-03-15	6	1	15	L	R	0	17.08	1.568234902	1	10	3	1
2016-03-15	7	1	10	R	R	1	10	0.600600601	4	0	5	1
2016-03-15	1	10	1	L	L	1	8.17	0.633967301	0	1	0	0
2016-03-15	3	1	5	R	L	0	5.92	1.701701702	1	1	0	3
2016-03-15	4	1	5	L	R	0	5.92	1.134467801	1	0	0	4
2016-03-16	14	10	1	R	R	1	4.1	0.834167501	0	0	0	1
2016-03-16	10	10	15	L	L	1	6.33	1.868535202	1	9	1	4
2016-03-16	13	1	1	L	R	0	58.260000000000005	1.167834501	0	0	0	1
2016-03-16	15	10	5	L	L	1	11.75	1.134467801	4	0	0	1
2016-03-16	16	1	5	R	L	0	2.75	0.967634301	1	0	1	3
2016-03-16	9	1	15	R	R	1	11.34	1.935268602	1	10	0	4
2016-03-16	11	1	10	R	L	0	102.2	3.203203203	1	3	0	6
2016-03-17	22	10	10	R	L	0	6.17	0.700700701	0	1	0	9
2016-03-17	23	1	15	L	L	1	121.05	1.935268602	9	1	0	5
2016-03-17	24	10	15	R	R	1	10.08	2.435769102	2	11	0	2
2016-03-17	17	10	5	R	L	0	3.3299999999999996	2.035368702	3	0	0	2
2016-03-17	20	10	1	L	L	1	674.97	1.468134801	0	0	0	1
2016-03-17	19	1	1	L	R	0	204	1.334668001	0	0	0	1
2016-03-17	18	1	5	L	L	1	2.67	1.368034701	0	0	0	5
2016-03-19	1	1	5	R	R	1	4.470000000000001	1.267934601	0	4	0	1
2016-03-19	5	1	10	R	R	1	68.25	2.569235903	0	5	4	1
2016-03-19	3	10	1	L	L	1	62.92	1.401401401	0	0	0	1
2016-03-19	7	10	15	R	L	0	10.98	1.601601602	1	6	2	6
2016-03-19	2	1	5	R	L	0	480.88	1.568234902	2	1	0	2
2016-03-19	6	1	10	L	R	0	46.41	1.935268602	2	3	1	4
2016-03-20	16	10	5	L	L	1	6.75	2.268935602	1	1	0	3
2016-03-20	12	1	10	R	R	1	5.25	1.501501502	1	3	0	6
2016-03-20	9	10	15	L	L	1	37.44	0.867534201	0	11	0	4
2016-03-20	10	1	15	R	L	0	4.42	1.634968302	2	3	2	8
2016-03-20	14	1	1	L	L	1	3.9699999999999998	0.867534201	0	0	0	1
2016-03-20	11	10	10	R	R	1	108.54	4.204204204	0	7	2	1
2016-03-21	23	10	10	L	L	1	11.08	1.534868202	1	4	0	5
2016-03-21	18	1	1	R	L	0	3.42	0.667334001	0	0	0	1
2016-03-21	19	10	5	L	L	1	299.37	2.302302302	0	3	0	2
2016-03-21	24	10	10	R	R	1	91.66999999999999	3.570236904	0	8	1	1
2016-03-21	21	1	15	R	L	0	93.73	3.336670003	0	13	0	2
2016-03-21	22	10	15	L	L	1	6.83	1.234567901	3	4	7	1
2016-03-23	4	1	1	R	R	1	3.6	1.434768101	0	0	0	1
2016-03-23	2	10	5	L	L	1	611.64	0.867534201	0	4	0	1
2016-03-23	3	1	1	R	L	0	4.75	1.034367701	0	0	0	1
2016-03-23	6	10	10	L	R	0	6.67	0.967634301	1	2	6	1
2016-03-23	8	10	15	R	L	0	5.42	1.167834501	2	0	3	10
2016-03-23	7	1	15	L	L	1	10.58	1.368034701	4	6	4	1
2016-03-24	15	10	1	L	L	1	165.63	1.234567901	0	0	0	1
2016-03-24	11	10	15	R	L	0	3.5	0.934267601	1	4	0	10
2016-03-24	9	1	10	R	L	0	22.16	0.800800801	0	0	9	1
2016-03-24	14	1	5	R	R	1	27.17	2.135468802	0	4	0	1
2016-03-25	17	1	1	L	L	1	64.6	0.767434101	0	1	0	0
2016-03-25	20	10	5	L	L	1	416	1.901901902	2	1	0	2
2016-03-25	18	10	1	R	L	0	56.39	0.867534201	0	0	0	1
2016-03-25	24	1	10	L	R	0	250	1.568234902	1	1	2	6
2016-03-25	19	1	5	R	R	1	141.88000000000002	50	1	0	0	4
2016-03-25	23	1	10	R	L	0	139.76999999999998	5.405405405	8	0	1	1
2016-03-25	22	1	15	R	L	0	2.8299999999999996	0.800800801	14	0	0	1
2016-03-27	19	10	1	R	R	1	41.41	4.904904905	0	0	0	1
2016-03-27	23	10	5	L	L	1	25.830000000000002	3.303303303	3	1	0	1
2016-03-27	17	1	15	R	R	1	6.17	0.867534201	8	0	0	7
2016-03-30	6	1	1	R	L	0	481.51	0.567233901	0	0	0	1
2016-03-30	17	10	1	R	L	0	557.76	0.600600601	0	0	0	1
